pretraining,num_layers,seed,HR@10,NDCG@10,elapsed_sec
False,1,0,0.6585366129875183,0.3906238941193727,105.14753484725952
False,1,1,0.6532343626022339,0.3870717080298791,97.95498991012573
False,1,2,0.6458112597465515,0.3886085071564211,97.4721851348877
False,1,3,0.6829268336296082,0.4045561480162246,98.10809183120728
False,1,4,0.6553552746772766,0.3902750536672293,97.30716586112976
False,1,5,0.6659597158432007,0.39202501429810654,96.85550665855408
False,1,6,0.6553552746772766,0.3927073812870959,97.760990858078
False,1,7,0.6659597158432007,0.39371420989244277,98.16637182235718
False,1,8,0.6659597158432007,0.3875528639686948,97.31908965110779
False,1,9,0.6511134505271912,0.3810866042119754,97.16051816940308
False,2,0,0.6532343626022339,0.40258107005375376,105.24397993087769
False,2,1,0.6330859065055847,0.3859788573715266,105.01869416236877
False,2,2,0.6564157009124756,0.3906609108232727,106.16062307357788
False,2,3,0.6648992300033569,0.39552103758218576,106.53506994247437
False,2,4,0.6765641570091248,0.39484654275490594,105.13590979576111
False,2,5,0.6659597158432007,0.3949007807471658,105.30714416503906
False,2,6,0.6468716859817505,0.38765698809437804,105.64594626426697
False,2,7,0.6680805683135986,0.40191241716644155,105.47976207733154
False,2,8,0.6511134505271912,0.39562649914466036,104.59141945838928
False,2,9,0.6691410541534424,0.3922518191025162,104.83667421340942
False,3,0,0.6394485831260681,0.3807410396823393,111.45643401145935
False,3,1,0.6532343626022339,0.38918371220465825,112.0003490447998
False,3,2,0.6564157009124756,0.3831521736374577,112.00000977516174
False,3,3,0.6415694355964661,0.39200418775961626,113.03075528144836
False,3,4,0.6436903476715088,0.3898995810730456,113.08480644226074
False,3,5,0.6723223924636841,0.3961811854272119,113.41129398345947
False,3,6,0.6511134505271912,0.3972477389001349,113.16759300231934
False,3,7,0.6447507739067078,0.3848888961992643,113.88741898536682
False,3,8,0.6330859065055847,0.38533506543894297,114.83410215377808
False,3,9,0.6553552746772766,0.40383848383402,113.50827145576477
True,1,0,0.6468716859817505,0.3791333478534393,251.3081648349762
True,1,1,0.6553552746772766,0.3755556508087729,252.14526629447937
True,1,2,0.66171795129776,0.37445239931744945,253.19147515296936
True,1,3,0.6574761271476746,0.376365078213711,256.9042167663574
True,1,4,0.6606574654579163,0.3800861195859957,255.18786549568176
True,1,5,0.6564157009124756,0.37887449115718885,256.0146381855011
True,1,6,0.6436903476715088,0.3693085420612817,256.4132978916168
True,1,7,0.6500530242919922,0.37831481740259837,255.53754329681396
True,1,8,0.6532343626022339,0.3780520270675375,257.46127367019653
True,1,9,0.6542947888374329,0.3811569576257278,256.6741564273834
True,2,0,0.66171795129776,0.3898539470452316,270.84595370292664
True,2,1,0.6564157009124756,0.38901659536566674,269.6799705028534
True,2,2,0.6511134505271912,0.37981727170146895,270.63194489479065
True,2,3,0.6585366129875183,0.3821171213451785,267.2831997871399
True,2,4,0.6606574654579163,0.3840159965405179,268.160617351532
True,2,5,0.6564157009124756,0.37951942539463396,268.855544090271
True,2,6,0.6691410541534424,0.39282503152041737,268.22802448272705
True,2,7,0.6659597158432007,0.39113722068764123,271.03307342529297
True,2,8,0.6532343626022339,0.3843964621442693,273.7236523628235
True,2,9,0.6585366129875183,0.38782357787657573,267.86736941337585
True,3,0,0.6468716859817505,0.39372941571226966,284.18589091300964
True,3,1,0.6511134505271912,0.3870896332835118,286.71851563453674
True,3,2,0.6511134505271912,0.3817085747021875,284.9837694168091
True,3,3,0.6500530242919922,0.380523984854876,283.8503506183624
True,3,4,0.6585366129875183,0.38756725721620844,286.9712152481079
True,3,5,0.6500530242919922,0.38690540808695767,288.3750534057617
True,3,6,0.6468716859817505,0.3793904139852341,287.113623380661
True,3,7,0.6447507739067078,0.3850182491113944,284.9423520565033
True,3,8,0.6691410541534424,0.39135195780534776,284.63317036628723
True,3,9,0.6352067589759827,0.37448979816534067,283.8100218772888
