n_components,seed,HR@10,NDCG@10,num_parameters,elapsed_sec
1,0,0.36267232237539765,0.19022937653271232,2625,0.16771388053894043
1,1,0.36267232237539765,0.19022937653271232,2625,0.14421939849853516
1,2,0.36267232237539765,0.19022937653271232,2625,0.15099740028381348
1,3,0.36267232237539765,0.19022937653271232,2625,0.14336729049682617
1,4,0.36267232237539765,0.19022937653271232,2625,0.1477372646331787
1,5,0.36267232237539765,0.19022937653271232,2625,0.15042591094970703
1,6,0.36267232237539765,0.19022937653271232,2625,0.146958589553833
1,7,0.36267232237539765,0.19022937653271232,2625,0.14739513397216797
1,8,0.36267232237539765,0.19022937653271232,2625,0.14364051818847656
1,9,0.36267232237539765,0.19022937653271232,2625,0.14588284492492676
6,0,0.5864262990455992,0.32403166159223556,15750,0.37027549743652344
6,1,0.5864262990455992,0.32403166159223556,15750,0.37356996536254883
6,2,0.5864262990455992,0.32403166159223556,15750,0.37708520889282227
6,3,0.5864262990455992,0.32403166159223556,15750,0.3918771743774414
6,4,0.5864262990455992,0.32403166159223556,15750,0.37544941902160645
6,5,0.5864262990455992,0.32403166159223556,15750,0.3765425682067871
6,6,0.5864262990455992,0.32403166159223556,15750,0.3779575824737549
6,7,0.5864262990455992,0.32403166159223556,15750,0.376605749130249
6,8,0.5864262990455992,0.32403166159223556,15750,0.38799333572387695
6,9,0.5864262990455992,0.32403166159223556,15750,0.3735158443450928
11,0,0.6150583244962884,0.3464491354553177,28875,0.5985462665557861
11,1,0.616118769883351,0.34675567291694853,28875,0.5365345478057861
11,2,0.616118769883351,0.3473823961410003,28875,0.5221965312957764
11,3,0.6171792152704135,0.34796041711207404,28875,0.5289502143859863
11,4,0.616118769883351,0.3476747516542903,28875,0.5396671295166016
11,5,0.6139978791092259,0.34617750262402647,28875,0.5335597991943359
11,6,0.616118769883351,0.3476538796504432,28875,0.5307905673980713
11,7,0.616118769883351,0.3476538796504432,28875,0.565253734588623
11,8,0.616118769883351,0.3474013446633201,28875,0.5470178127288818
11,9,0.616118769883351,0.34726250081011606,28875,0.6062166690826416
16,0,0.6362672322375398,0.364073779852766,42000,0.6716656684875488
16,1,0.6362672322375398,0.36319174219472555,42000,0.6782963275909424
16,2,0.6352067868504772,0.3633798679845501,42000,0.6744709014892578
16,3,0.6341463414634146,0.36272779591135357,42000,0.6984286308288574
16,4,0.6362672322375398,0.36275322151064743,42000,0.69173264503479
16,5,0.6362672322375398,0.3640864682614045,42000,0.6807699203491211
16,6,0.6362672322375398,0.36408908725586436,42000,0.7010564804077148
16,7,0.6362672322375398,0.36369770841553717,42000,0.6776895523071289
16,8,0.6256627783669141,0.36124406697075795,42000,0.6930060386657715
16,9,0.6362672322375398,0.3642279311090685,42000,0.7230989933013916
21,0,0.6299045599151644,0.36111243904852275,55125,0.8995606899261475
21,1,0.6320254506892895,0.36139094041718955,55125,0.8959591388702393
21,2,0.6214209968186638,0.35957415070389026,55125,0.856985330581665
21,3,0.6383881230116649,0.36679097291217283,55125,0.8638865947723389
21,4,0.6224814422057264,0.36298758288252403,55125,0.8845195770263672
21,5,0.6341463414634146,0.36533685114984943,55125,0.9009339809417725
21,6,0.6362672322375398,0.3667361521043992,55125,0.8853704929351807
21,7,0.6320254506892895,0.36474853482690345,55125,0.8989598751068115
21,8,0.6224814422057264,0.3616357621594595,55125,0.9083366394042969
21,9,0.633085896076352,0.36684766244255396,55125,0.9075362682342529
26,0,0.633085896076352,0.37075315886251736,68250,1.1019959449768066
26,1,0.633085896076352,0.36738752220000026,68250,1.1299209594726562
26,2,0.6256627783669141,0.3628478809100908,68250,1.1414985656738281
26,3,0.633085896076352,0.3695895670949796,68250,1.033740758895874
26,4,0.6341463414634146,0.36798702545388196,68250,1.1043448448181152
26,5,0.6415694591728526,0.36930627096931357,68250,1.1172547340393066
26,6,0.6341463414634146,0.3673980422891741,68250,1.153355360031128
26,7,0.6352067868504772,0.3621561121356862,68250,1.0044660568237305
26,8,0.6415694591728526,0.37192213634810134,68250,1.1466975212097168
26,9,0.6373276776246023,0.3698233584460674,68250,1.1292831897735596
